State,Unemployed_Pct_2020,Unemployed_Pct_2021,Unemployed_Pct_2022,Unemployed_Pct_2023,Unemployed_Pct_2024,Avg_2020_2024,Rank_2024,Total_N_2020,Total_N_2021,Total_N_2022,Total_N_2023,Total_N_2024
Johor,13.0,13.1,8.7,9.4,6.1,10.1,6,28356,30498,31236,32907,25454
Kedah,15.5,15.3,9.6,10.3,8.8,11.9,10,19448,20294,21094,21977,15947
Kelantan,19.1,19.8,13.0,13.0,10.9,15.2,16,16323,17289,15877,16318,12432
Melaka,13.8,14.0,8.6,10.1,6.7,10.6,7,8971,9762,9476,9940,7065
Negeri Sembilan,14.8,14.4,9.5,10.1,7.0,11.2,8,11275,12491,12718,13380,9491
Pahang,15.5,16.3,11.5,11.4,7.9,12.5,9,12896,14327,13930,13649,10410
Pulau Pinang,12.4,11.2,7.6,8.1,6.5,9.2,5,15888,16193,17730,18292,13411
Perak,18.2,17.1,11.2,11.2,8.3,13.2,12,21253,21953,21774,22083,16523
Perlis,17.0,14.3,9.6,10.2,9.5,12.1,11,2259,2692,2523,2782,1882
Selangor,13.0,11.5,8.4,9.0,6.0,9.6,4,58301,70130,75354,75944,58447
Terengganu,17.4,16.4,11.9,12.3,9.8,13.6,13,12246,12605,12505,13118,10306
Sabah,23.8,21.8,14.2,13.8,11.0,16.9,17,15275,16420,16119,17601,13351
Sarawak,19.9,17.3,12.4,12.0,9.8,14.3,14,15902,17346,18485,18460,14786
WP Kuala Lumpur,13.2,11.6,8.3,8.7,6.1,9.6,3,18711,21427,24206,25032,19830
WP Labuan,17.1,14.3,10.8,9.5,6.0,11.5,2,651,600,591,651,655
WP Putrajaya,9.7,8.5,4.6,5.7,4.7,6.6,1,1335,1628,1826,1919,1520
Luar Negara (Overseas),11.3,10.1,7.4,4.2,2.2,7.0,,150,179,349,307,274
NATIONAL,15.6,14.5,9.8,10.2,7.5,11.5,,260701,286299,295962,304466,231841
