State,Year,Employed_N,Unemployed_N,Unemployed_Pct,Total_N,Rank_That_Year
Sabah,2020,8028,3641,23.8,15275,1
Sabah,2021,9171,3580,21.8,16420,1
Sabah,2022,10713,2284,14.2,16119,1
Sabah,2023,11651,2423,13.8,17601,1
Sabah,2024,11885,1466,11.0,13351,1
Kelantan,2020,9077,3114,19.1,16323,3
Kelantan,2021,9205,3429,19.8,17289,2
Kelantan,2022,10042,2057,13.0,15877,3
Kelantan,2023,10083,2125,13.0,17601,2
Kelantan,2024,11081,1351,10.9,12432,2
Sarawak,2020,9045,3162,19.9,15902,2
Sarawak,2021,10410,2995,17.3,17346,3
Sarawak,2022,12514,2301,12.4,18485,4
Sarawak,2023,12252,2214,12.0,18460,3
Sarawak,2024,13340,1446,9.8,14786,3
WP Putrajaya,2020,940,129,9.7,1335,1
WP Putrajaya,2021,1149,139,8.5,1628,1
WP Putrajaya,2022,1454,84,4.6,1826,1
WP Putrajaya,2023,1476,109,5.7,1919,1
WP Putrajaya,2024,1448,72,4.7,1520,1
