field_of_study,employed_pct_2023,employed_pct_2024,employment_change,total_grads_2023,total_grads_2024,graduate_growth
"Kejuruteraan, Pembuatan dan Pembinaan Engineering, Manufacturing & Construction",70.6,94.9,24.30000000000001,78818,62503,-16315
Kesihatan dan Kebajikan Health & Welfare,67.2,92.6,25.39999999999999,17482,13067,-4415
"Sains semulajadi, Matematik dan Statistik Natural Sciences, Mathematics & Statistics",59.3,92.5,33.2,13565,10058,-3507
"Perniagaan, Pentadbiran dan Perundangan Business, Administration and Law",68.7,92.2,23.5,85300,61442,-23858
"Sains sosial, Kewartawanan dan Maklumat Social Sciences, Journalism and Information",69.2,90.8,21.599999999999994,13744,12280,-1464
Sastera dan Kemanusiaan Arts & Humanities,63.5,90.8,27.299999999999997,26971,19019,-7952
Program dan Kelayakan Generik Generic Programmes and Qualifications,80.9,90.7,9.799999999999997,68,43,-25
"Pertanian, Perhutanan, Perikanan dan Veterinar Agriculture, Forestry, Fisheries & Veterinary",57.0,90.0,33.0,4826,3348,-1478
Perkhidmatan Services,68.6,89.9,21.30000000000001,20034,14080,-5954
Pendidikan Education,70.9,89.8,18.89999999999999,21284,20003,-1281
