year,level_of_study,employed_count,employed_pct,further_study_count,further_study_pct,upgrading_skills_count,upgrading_skills_pct,waiting_placement_count,waiting_placement_pct,unemployed_count,unemployed_pct,total_graduates,total_pct
2023,Doktor Falsafah (Ph.D) Doctor of Philosophy (Ph.D),2321,87.7,14,0.5,78,2.9,79,3.0,154,5.8,2646,100
2023,Sarjana Master,16797,88.7,678,3.6,288,1.5,301,1.6,876,4.6,18940,100
2023,Diploma Pascasiswazah Postgraduate Diploma,2308,77.4,34,1.1,27,0.9,331,11.1,283,9.5,2983,100
2023,Sarjana Muda Bachelor,103433,76.3,6931,5.1,4341,3.2,7040,5.2,13777,10.2,135522,100
2023,Diploma lanjutan Advanced Diploma,182,87.5,13,6.3,0,0.0,2,1.0,11,5.3,208,100
2023,Diploma Diploma,61554,53.4,36336,31.5,938,0.8,2124,1.8,14344,12.4,115296,100
2023,Sijil Certificate,19284,69.3,6400,23.0,194,0.7,300,1.1,1644,5.9,27822,100
2023,Profesional Professional,128,91.4,4,2.9,1,0.7,1,0.7,6,4.3,140,100
2023,Sijil Pascasiswazah Postgraduate Certificate,29,100.0,0,0.0,0,0.0,0,0.0,0,0.0,29,100
2023,Sijil Lanjutan Advanced Certificate,656,85.5,96,12.5,4,0.5,1,0.1,10,1.3,767,100
2023,Sijil Siswazah Graduate Certificate,37,90.2,4,9.8,0,0.0,0,0.0,0,0.0,41,100
2023,Diploma Siswazah Graduate Diploma,71,98.6,0,0.0,0,0.0,0,0.0,1,1.4,72,100
