year,state,employed_count,employed_pct,further_study_count,further_study_pct,upgrading_skills_count,upgrading_skills_pct,waiting_placement_count,waiting_placement_pct,unemployed_count,unemployed_pct,total_graduates,total_pct
2023,Johor,23110,70.2,4930,15.0,674,2.0,1093,3.3,3100,9.4,32907,100.0
2024,Johor,23904,93.9,,,,,,,1550,6.1,25454,100.0
2023,Kedah,14649,66.7,3775,17.2,507,2.3,776,3.5,2270,10.3,21977,100.0
2024,Kedah,14546,91.2,,,,,,,1401,8.8,15947,100.0
2023,Kelantan,10083,61.8,3043,18.6,376,2.3,691,4.2,2125,13.0,16318,100.0
2024,Kelantan,11081,89.1,,,,,,,1351,10.9,12432,100.0
2023,Melaka,6739,67.8,1697,17.1,161,1.6,340,3.4,1003,10.1,9940,100.0
2024,Melaka,6594,93.3,,,,,,,471,6.7,7065,100.0
2023,Negeri Sembilan,8873,66.3,2505,18.7,235,1.8,411,3.1,1356,10.1,13380,100.0
2024,Negeri Sembilan,8829,93.0,,,,,,,662,7.0,9491,100.0
2023,Pahang,9073,66.5,2240,16.4,284,2.1,498,3.6,1554,11.4,13649,100.0
2024,Pahang,9592,92.1,,,,,,,818,7.9,10410,100.0
2023,Perak,14743,66.8,3526,16.0,488,2.2,863,3.9,2463,11.2,22083,100.0
2024,Perak,15158,91.7,,,,,,,1365,8.3,16523,100.0
2023,Perlis,1720,61.8,617,22.2,68,2.4,93,3.3,284,10.2,2782,100.0
2024,Perlis,1704,90.5,,,,,,,178,9.5,1882,100.0
2023,Pulau Pinang,13041,71.3,2873,15.7,346,1.9,550,3.0,1482,8.1,18292,100.0
2024,Pulau Pinang,12541,93.5,,,,,,,870,6.5,13411,100.0
2023,Sabah,11651,66.2,2115,12.0,422,2.4,990,5.6,2423,13.8,17601,100.0
2024,Sabah,11885,89.0,,,,,,,1466,11.0,13351,100.0
2023,Sarawak,12252,66.4,2749,14.9,441,2.4,804,4.4,2214,12.0,18460,100.0
2024,Sarawak,13340,90.2,,,,,,,1446,9.8,14786,100.0
2023,Selangor,52260,68.8,13817,18.2,1149,1.5,1854,2.4,6864,9.0,75944,100.0
2024,Selangor,54912,94.0,,,,,,,3535,6.0,58447,100.0
2023,Terengganu,8344,63.6,2430,18.5,312,2.4,425,3.2,1607,12.3,13118,100.0
2024,Terengganu,9295,90.2,,,,,,,1011,9.8,10306,100.0
2023,WP,17974,71.8,3802,15.2,368,1.5,714,2.9,2174,8.7,25032,100.0
2023,WP,475,73.0,70,10.8,15,2.3,29,4.5,62,9.5,651,100.0
2023,WP,1476,76.9,275,14.3,20,1.0,39,2.0,109,5.7,1919,100.0
2024,WP,18628,93.9,,,,,,,1202,6.1,19830,100.0
2024,WP,616,94.0,,,,,,,39,6.0,655,100.0
2024,WP,1448,95.3,,,,,,,72,4.7,1520,100.0
