year,Negeri Bermastautin Residential States,Kadar Bekerja Graduan / Graduates Employment,,,,Jumlah Total,
2024,,Bekerja Employed,,Belum Bekerja Not Working Yet,,,
2024,,Bil No.,%,Bil No.,%,Bil No.,%
2024,Johor,"23,904",93.9,"1,550",6.1,"25,454",100.0
2024,Kedah,"14,546",91.2,"1,401",8.8,"15,947",100.0
2024,Kelantan,"11,081",89.1,"1,351",10.9,"12,432",100.0
2024,Melaka,"6,594",93.3,471,6.7,"7,065",100.0
2024,Negeri Sembilan,"8,829",93.0,662,7.0,"9,491",100.0
2024,Pahang,"9,592",92.1,818,7.9,"10,410",100.0
2024,Pulau Pinang,"12,541",93.5,870,6.5,"13,411",100.0
2024,Perak,"15,158",91.7,"1,365",8.3,"16,523",100.0
2024,Perlis,"1,704",90.5,178,9.5,"1,882",100.0
2024,Selangor,"54,912",94.0,"3,535",6.0,"58,447",100.0
2024,Terengganu,"9,295",90.2,"1,011",9.8,"10,306",100.0
2024,Sabah,"11,885",89.0,"1,466",11.0,"13,351",100.0
2024,Sarawak,"13,340",90.2,"1,446",9.8,"14,786",100.0
2024,Wilayah Persekutuan Kuala Lumpur,"18,628",93.9,"1,202",6.1,"19,830",100.0
2024,Wilayah Persekutuan Labuan,616,94.0,39,6.0,655,100.0
2024,Wilayah Persekutuan Putrajaya,"1,448",95.3,72,4.7,"1,520",100.0
2024,Luar Negara,268,97.8,6,2.2,274,100.0
2024,Jumlah Total,"214,341",92.5,"17,443",7.5,"231,784",100.0
