state,mywi_2022,mywi_2022_source,mywi_2023_est,mywi_2023_source,yoy_change_2023_pct,yoy_change_2024_index_pts
Sarawak,119.5,opendosm_dashboard,,unavailable,,1.8
Sabah,119.2,opendosm_dashboard,116.6,estimated_from_pct,-2.2,1.3
Pulau Pinang,119.0,opendosm_dashboard,118.2,estimated_from_pct,-0.7,
Perak,118.5,opendosm_dashboard,,unavailable,,
Terengganu,117.4,opendosm_dashboard,117.4,estimated_from_pct,0.0,
Pahang,117.3,opendosm_dashboard,117.9,estimated_from_pct,0.5,
Selangor,117.2,opendosm_dashboard,,unavailable,,
Kedah,117.1,opendosm_dashboard,,unavailable,,1.8
Negeri Sembilan,116.9,opendosm_dashboard,,unavailable,,
Kelantan,116.2,opendosm_dashboard,,unavailable,,2.0
Melaka,115.9,opendosm_dashboard,,unavailable,,
Johor,115.8,opendosm_dashboard,117.0,estimated_from_pct,1.0,
Perlis,115.2,opendosm_dashboard,116.8,estimated_from_pct,1.4,
W.P. Kuala Lumpur,114.6,opendosm_dashboard,113.7,estimated_from_pct,-0.8,
W.P. Labuan,114.6,opendosm_dashboard,,unavailable,,
W.P. Putrajaya,114.6,opendosm_dashboard,,unavailable,,
